Prueba 1
T1 T2 %Carga
0.0 0.0 18.7
0.0 0.0 18.7
591.0 32.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
15.0 0.0 18.7
0.0 16.0 18.7
0.0 0.0 18.7
16.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
31.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 31.8
0.0 0.0 31.8
16.0 0.0 31.8
0.0 0.0 31.8
0.0 0.0 31.8
0.0 0.0 31.8
16.0 0.0 31.8
0.0 0.0 31.8
0.0 0.0 31.8
15.0 0.0 31.8
0.0 0.0 31.8
0.0 0.0 31.8
0.0 0.0 43.6
0.0 0.0 43.6
15.0 0.0 43.6
2.0 1.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 43.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 36.6
0.0 0.0 34.6
0.0 0.0 34.6
0.0 0.0 34.6
15.0 0.0 34.6
0.0 0.0 34.6
0.0 0.0 34.6
0.0 16.0 34.6
16.0 0.0 34.6
16.0 0.0 34.6
0.0 0.0 34.6
0.0 0.0 34.6
0.0 0.0 29.5
16.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
16.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 16.0 28.5
0.0 0.0 30.1
0.0 0.0 30.1
0.0 16.0 30.1
0.0 0.0 30.1
16.0 0.0 30.1
0.0 0.0 30.1
15.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
15.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 26.4
0.0 0.0 30.1
0.0 0.0 30.1
0.0 15.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 30.1
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
2.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 20.8
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
0.0 0.0 23.3
2.0 1.0 23.3
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
1.0 0.0 26.5
0.0 0.0 26.5
16.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
16.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
3.0 0.0 29.1
2.0 0.0 29.1
3.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 28.5
0.0 0.0 28.5
16.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
16.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 28.5
0.0 0.0 27.0
0.0 0.0 27.0
0.0 0.0 27.0
0.0 0.0 27.0
0.0 0.0 27.0
0.0 0.0 27.0
16.0 0.0 27.0
0.0 0.0 27.0
2.0 0.0 27.0
2.0 0.0 27.0
0.0 0.0 27.0
0.0 0.0 27.0
15.0 0.0 18.4
0.0 0.0 18.4
0.0 0.0 18.4
15.0 0.0 18.4
0.0 0.0 18.4
0.0 0.0 18.4
16.0 0.0 18.4
0.0 0.0 18.4
15.0 0.0 18.4
0.0 0.0 18.4
0.0 0.0 18.4
0.0 15.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
16.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
0.0 0.0 14.8
Numero de Fallas:0
Prueba 2
