T1 T2
524.0 41.0
529.0 36.0
524.0 41.0
484.0 38.0
486.0 39.0
530.0 36.0
397.0 39.0
490.0 39.0
6.0 1.0
6.0 1.0
5.0 1.0
5.0 6.0
5.0 1.0
8.0 0.0
5.0 1.0
28.0 1.0
7.0 1.0
15.0 3.0
4.0 1.0
7.0 1.0
6.0 2.0
6.0 1.0
11.0 3.0
5.0 1.0
5.0 1.0
8.0 1.0
6.0 1.0
7.0 1.0
5.0 0.0
4.0 9.0
5.0 1.0
4.0 3.0
9.0 1.0
5.0 1.0
4.0 1.0
6.0 8.0
5.0 1.0
6.0 1.0
5.0 1.0
5.0 0.0
5.0 1.0
5.0 1.0
5.0 1.0
11.0 1.0
18.0 4.0
6.0 0.0
5.0 3.0
5.0 1.0
6.0 4.0
7.0 0.0
5.0 0.0
5.0 1.0
5.0 0.0
5.0 0.0
5.0 1.0
5.0 1.0
5.0 1.0
5.0 0.0
5.0 1.0
5.0 2.0
5.0 0.0
4.0 1.0
5.0 1.0
22.0 7.0
16.0 4.0
5.0 1.0
5.0 1.0
4.0 1.0
5.0 1.0
4.0 2.0
5.0 1.0
5.0 0.0
5.0 1.0
5.0 1.0
9.0 48.0
5.0 0.0
54.0 9.0
11.0 63.0
4.0 1.0
5.0 0.0
5.0 1.0
5.0 5.0
5.0 0.0
9.0 0.0
5.0 2.0
6.0 3.0
4.0 2.0
5.0 2.0
5.0 1.0
6.0 2.0
3.0 5.0
5.0 0.0
5.0 2.0
4.0 1.0
10.0 0.0
4.0 0.0
5.0 1.0
4.0 0.0
4.0 1.0
6.0 2.0
6.0 4.0
5.0 0.0
5.0 0.0
4.0 1.0
4.0 0.0
10.0 2.0
4.0 1.0
5.0 1.0
6.0 1.0
5.0 0.0
8.0 2.0
11.0 1.0
4.0 1.0
6.0 9.0
5.0 0.0
4.0 2.0
4.0 5.0
5.0 2.0
5.0 4.0
6.0 2.0
7.0 31.0
6.0 2.0
5.0 0.0
6.0 0.0
5.0 1.0
6.0 1.0
5.0 1.0
5.0 1.0
10.0 6.0
5.0 0.0
4.0 1.0
5.0 1.0
5.0 1.0
5.0 0.0
4.0 1.0
4.0 0.0
5.0 0.0
5.0 2.0
8.0 1.0
5.0 1.0
4.0 1.0
5.0 3.0
5.0 0.0
4.0 1.0
5.0 0.0
5.0 1.0
5.0 0.0
16.0 1.0
5.0 0.0
5.0 7.0
56.0 11.0
5.0 0.0
4.0 1.0
5.0 1.0
6.0 1.0
4.0 1.0
4.0 1.0
4.0 1.0
5.0 0.0
19.0 4.0
4.0 1.0
36.0 1.0
27.0 0.0
7.0 0.0
3.0 1.0
4.0 11.0
5.0 21.0
4.0 2.0
6.0 5.0
6.0 12.0
5.0 6.0
8.0 3.0
4.0 0.0
4.0 8.0
8.0 3.0
5.0 2.0
4.0 1.0
6.0 8.0
5.0 0.0
6.0 12.0
4.0 0.0
4.0 1.0
4.0 5.0
4.0 5.0
5.0 0.0
6.0 1.0
4.0 1.0
4.0 3.0
5.0 0.0
5.0 13.0
4.0 0.0
4.0 1.0
10.0 2.0
5.0 1.0
5.0 1.0
5.0 0.0
5.0 2.0
5.0 0.0
5.0 1.0
5.0 1.0
4.0 0.0
26.0 1.0
4.0 1.0
5.0 0.0
5.0 0.0
3.0 0.0
2.0 1.0
2.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
4.0 0.0
4.0 0.0
17.0 1.0
4.0 0.0
4.0 0.0
3.0 1.0
3.0 0.0
4.0 1.0
4.0 1.0
4.0 1.0
4.0 0.0
4.0 0.0
4.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 0.0
4.0 0.0
3.0 1.0
3.0 1.0
4.0 0.0
4.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
5.0 0.0
4.0 1.0
3.0 1.0
4.0 0.0
5.0 1.0
4.0 0.0
4.0 0.0
5.0 0.0
4.0 1.0
5.0 1.0
5.0 1.0
4.0 0.0
5.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
3.0 1.0
5.0 1.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
2.0 0.0
3.0 0.0
4.0 0.0
4.0 1.0
4.0 0.0
4.0 0.0
3.0 0.0
4.0 1.0
3.0 0.0
4.0 1.0
4.0 0.0
4.0 0.0
3.0 1.0
5.0 1.0
4.0 1.0
4.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
4.0 0.0
4.0 1.0
5.0 0.0
3.0 1.0
3.0 0.0
5.0 0.0
3.0 0.0
4.0 1.0
4.0 1.0
2.0 1.0
2.0 1.0
3.0 1.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
2.0 10.0
4.0 1.0
4.0 0.0
4.0 1.0
4.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 0.0
2.0 0.0
3.0 0.0
2.0 0.0
3.0 1.0
2.0 1.0
2.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
2.0 1.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 1.0
4.0 0.0
3.0 0.0
5.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
4.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
